"""","総排出量 ①+②+③(ﾄﾝ)","① 計画収集量(ﾄﾝ)","② 直接  搬入量(ﾄﾝ)"," ③ 集団  回収量(ﾄﾝ)","総収集量の処理内訳_直 接焼 却(ﾄﾝ)","総収集量の処理内訳_直接最終処分(ﾄﾝ)","総収集量の処理内訳_ 粗大ごみ 処理施設(ﾄﾝ)","総収集量の処理内訳_その他 施　設(ﾄﾝ)","総収集量の処理内訳_直　接資源化(ﾄﾝ)"
"平成19年度(2007年度)","418922.0","313309.0","94714.0","10899.0","332912.0","10502.0","9351.0","44300.0","10788.0"
"平成20年度(2008年度)","403662.0","308391.0","83830.0","11441.0","323504.0","8018.0","8440.0","35590.0","9997.0"
"平成21年度(2009年度)","387731.0","296993.0","79510.0","11228.0","310721.0","5446.0","8503.0","43608.0","6102.0"
"平成22年度(2010年度)","380154.0","289575.0","78658.0","11921.0","307547.0","4152.0","7940.0","45843.0","6169.0"
"","","","","","","","","",""
"平成23年度(2011年度)","387511.0","292479.0","83911.0","11121.0","315276.0","4737.0","7438.0","40209.0","5756.0"
"平成24年度(2012年度)","381019.0","285306.0","85267.0","10446.0","306504.0","4511.0","7739.0","38597.0","6120.0"
"平成25年度(2013年度)","382687.0","282819.0","88743.0","11125.0","312708.0","4466.0","7434.0","39234.0","5165.0"
"","","","","","","","","",""
" 和歌山市","162689.0","110152.0","52027.0","510.0","147688.0","289.0","1870.0","11724.0","0.0"
" 海 南 市","21054.0","14663.0","5574.0","817.0","15859.0","1846.0","0.0","2532.0","0.0"
" 橋 本 市","20148.0","15290.0","2410.0","2448.0","15447.0","360.0","0.0","28.0","0.0"
" 有 田 市","11034.0","8996.0","1118.0","920.0","7927.0","0.0","1416.0","771.0","0.0"
" 御 坊 市","10350.0","7528.0","2386.0","436.0","8823.0","0.0","0.0","974.0","117.0"
" 田 辺 市","30227.0","24342.0","3437.0","2448.0","20699.0","0.0","0.0","5103.0","1954.0"
" 新 宮 市","12452.0","6946.0","5506.0","0.0","10861.0","0.0","44.0","733.0","474.0"
" 紀の川市","18987.0","16966.0","1543.0","478.0","15426.0","228.0","869.0","1456.0","530.0"
" 岩 出 市","18980.0","15392.0","3275.0","313.0","14607.0","0.0","1379.0","2943.0","0.0"
"","","","","","","","","",""
" 紀美野町","2049.0","1962.0","87.0","0.0","1305.0","0.0","360.0","384.0","0.0"
"","","","","","","","","",""
"　 かつらぎ町","4396.0","3407.0","427.0","562.0","3180.0","52.0","0.0","581.0","22.0"
" 九度山町","1417.0","1304.0","113.0","0.0","990.0","0.0","349.0","78.0","0.0"
" 高 野 町","1840.0","1751.0","89.0","0.0","1292.0","221.0","40.0","40.0","222.0"
"","","","","","","","","",""
" 湯 浅 町","4008.0","3373.0","355.0","280.0","2627.0","0.0","0.0","1096.0","5.0"
" 広 川 町","1985.0","1529.0","161.0","295.0","1401.0","127.0","0.0","180.0","0.0"
" 有田川町","7360.0","5793.0","1531.0","36.0","4876.0","0.0","1096.0","1352.0","0.0"
"","","","","","","","","",""
" 美 浜 町","2939.0","2106.0","495.0","338.0","2296.0","0.0","0.0","286.0","19.0"
" 日 高 町","2254.0","1658.0","316.0","280.0","1711.0","0.0","0.0","243.0","20.0"
" 由 良 町","2039.0","1593.0","446.0","0.0","1794.0","0.0","0.0","224.0","21.0"
" 印 南 町","2662.0","2088.0","382.0","192.0","2090.0","0.0","0.0","353.0","27.0"
" みなべ町","3900.0","2806.0","932.0","162.0","3023.0","76.0","0.0","639.0","0.0"
" 日高川町","3037.0","2249.0","397.0","391.0","2262.0","0.0","0.0","357.0","27.0"
"","","","","","","","","",""
" 白 浜 町","13722.0","12093.0","1627.0","2.0","9495.0","92.0","0.0","2948.0","1185.0"
" 上富田町","5012.0","4389.0","623.0","0.0","3385.0","1081.0","0.0","0.0","542.0"
" すさみ町","1686.0","1297.0","185.0","204.0","1257.0","92.0","0.0","133.0","0.0"
"","","","","","","","","",""
" 　那智勝浦町","6874.0","4811.0","2063.0","0.0","6101.0","0.0","0.0","889.0","0.0"
" 太 地 町","1248.0","1038.0","210.0","0.0","68.0","0.0","0.0","1082.0","0.0"
" 古座川町","922.0","708.0","201.0","13.0","572.0","0.0","0.0","337.0","0.0"
" 北 山 村","155.0","155.0","0.0","0.0","119.0","2.0","11.0","34.0","0.0"
" 串 本 町","7261.0","6434.0","827.0","0.0","5527.0","0.0","0.0","1734.0","0.0"
